			UPD: 08:11 PM

EV (AVG)	EV (365)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
-40.2	-42.7	PHI	Edmundo Sosa	*	870	834/-1836	1025/-1800	750/-1800	725/-2500	675	800/-1499	-	-	-
-46.8	-42.7	TOR	Cavan Biggio	*	750	846/-2156	1025/-1800	800/-2500	750/-2500	675	1000/-2000	850/-2000		747
-49.1	-43.5	LAA	Kyren Paris		750	881/-2794	1125/-2200	900/-3500	750/-3000	800	-	-		
-45.0	-44.3	MIL	William Contreras		560	576/-1133	650/-1050	550/-1200	550/-1200	370	600/-1099	575/-1000		549
-45.7	-44.7	KC	Nick Pratto	*	680	800/-2044	1025/-1800	800/-2500	700/-2500	650	850/-1664	-		747
-48.5	-45.7	MIA	Josh Bell		560	587/-1118	625/-1000	600/-1200	525/-1200	340	600/-1099	650/-1250		549
-47.5	-45.8	ATL	Orlando Arcia	*	700	847/-2301	1075/-2000	850/-3000	750/-3000	700	900/-1748	850/-2000		801
-56.4	-46.8	CHW	Tim Anderson		1060	998/-3529	1225/-2500	1000/-4000	850/-5000	850	-	900/-2500		953
-55.3	-46.8	PHI	Cristian Pache	*	870	1024/-3378	1225/-2500	950/-4000	875/-5000	850	1200/-2994	-	-	-
-49.3	-47.1	MIA	Jazz Chisholm		480	568/-1118	625/-1000	600/-1200	525/-1200	330	600/-1099	600/-1115		549
-47.5	-47.1	MIA	Jake Burger		540	556/-1069	625/-1000	550/-1100	525/-1200	330	550/-1000	550/-1000		549
-51.6	-47.4	MIL	Carlos Santana		560	670/-1328	700/-1150	600/-1400	575/-1400	380	750/-1399	850/-2000		652
-48.9	-47.4	MIA	Bryan De La Cruz		750	643/-1247	700/-1150	650/-1400	575/-1400	380	600/-1099	575/-1115		652
-53.2	-47.5	DET	Miguel Cabrera	*	1060	934/-2482	1075/-2000	900/-3000	800/-3000	675	1050/-2247	850/-2500		801
-55.5	-47.5	TEX	Leody Taveras		870	896/-2706	1075/-2000	900/-3000	825/-5000	675	1050/-2247	750/-1667		801
-51.0	-48.4	DET	Matt Vierling	*	800	875/-2061	1025/-1800	800/-2500	-	600	1000/-2000	750/-1667	-	-
-49.1	-48.5	PIT	Jack Suwinski	*	400	359/-512	360/-500	340/-525	-	145	-	370/-560	341	341
-55.0	-48.8	SF	Thairo Estrada		750	814/-2030	925/-1600	750/-2000	675/-2500	525	1050/-2247	800/-2000		747
-45.3	-48.8	DET	Kerry Carpenter	*	560	710/-1623	925/-1600	700/-1600	625/-2000	525	750/-1399	-		700
-51.8	-49.3	SF	Lamonte Wade		750	721/-1596	825/-1400	700/-1600	625/-2000	450	800/-1499	650/-1250		700
-54.7	-50.9	MIL	Mark Canha		630	797/-1907	925/-1600	800/-2000	725/-2500	500	900/-1748	850/-2000		747
-55.8	-50.9	CLE	Gabriel Arias		800	808/-1967	925/-1600	750/-2000	675/-2500	500	-	950/-3335		747
-60.3	-51.1	LAA	Jordyn Adams		1060	1187/-5714	1500/-4000	-	1000/-10000	1200	-	-		
-55.6	-52.2	SF	Brandon Crawford		870	857/-2149	1025/-1800	850/-2500	750/-3000	550	900/-1748	-		747
-49.7	-52.7	CHC	Nick Madrigal		870	1230/-5000	1550/-5000	-	1300	1400	-	-		1199
-63.9	-52.9	CHW	Elvis Andrus		900	1069/-4737	1425/-3000	1000/-5000	950/-10000	900	-	-	-	-
-55.8	-54.1	SF	Blake Sabol		830	836/-2061	1025/-1800	800/-2000	725/-2500	525	-	800/-2000	-	-
-56.1	-55.2	MIL	Tyrone Taylor		600	770/-1776	925/-1600	750/-1800	675/-2000	450	900/-1748	-	-	-
-55.7	-56.6	WSH	Lane Thomas	*	520	576/-1077	650/-1050	600/-1200	-	270	550/-1000	540/-1000		599
-57.6	-56.7	PIT	Bryan Reynolds	*	500	554/-1094	625/-1000	600/-1200	-	255	600/-1099	450/-715		549
-59.7	-57.3	WSH	Joey Meneses	*	870	638/-1158	650/-1050	600/-1200	550/-1200	265	650/-1199	550/-1000		599
-58.5	-57.5	MIA	Jesus Sanchez		560	780/-2075	1025/-1800	800/-2500	725/-2500	480	900/-1748	700/-1430		747
-57.5	-57.9	MIL	Rowdy Tellez		630	776/-1985	1025/-1800	750/-1800	700/-2500	475	-	-	-	-
-62.8	-58.0	CLE	Josh Naylor		600	864/-2887	1125/-2200	900/-3500	825/-5000	575	1050/-2247	750/-2000		801
-64.3	-58.2	CIN	Tj Friedl	*	750	1125/-4719	1450/-3500	1100/-10000	1050	900	1400/-4000	-		999
-55.9	-58.3	CIN	Nick Senzel	*	630	867/-2646	1225/-2500	850/-3000	750/-3000	650	1050/-2247	700/-1667	-	-
-60.7	-59.9	PIT	Kebryan Hayes	*	630	676/-1278	725/-1200	650/-1400	-	285	700/-1250	700/-1430		652
-72.6	-62.5	SF	Luis Matos		1100	1095/-5000	1425/-3000	1000/-6000	950/-10000	700	-	-		999
-71.8	-64.6	CLE	Tyler Freeman		830	1126/-5185	1450/-3500	1200/-10000	1000	750	-	1150/-5000	-	-
-76.0	-64.6	MIA	Luis Arraez		830	1234/-6176	1450/-3500	1200/-10000	1050	750	2200/-10000	800/-2000		1105
-69.8	-68.0	WSH	Keibert Ruiz	*	680	844/-2383	1075/-2000	850/-2500	800/-3000	380	1050/-2247	650/-1430		801
-77.0	-68.3	MIL	Brice Turang		1060	1152/-6667	1500/-4000	1200/-20000	1100	750	-	950/-2500		1105
-74.8	-68.3	CLE	Andres Gimenez		870	1232/-5803	1500/-4000	1200/-10000	1050	750	1700/-5988	1200/-5000		1105
-71.4	-68.4	WSH	Ildemaro Vargas	*	1000	935/-2432	1075/-2000	850/-3000	-	375	1100/-2500	650/-1430	-	-
-81.0	-70.2	MIA	Joey Wendle		1060	1309/-7500	1500/-4000	1200/-20000	1050	700	2200/-10000	1050/-3335		1105
-68.5	-70.3	MIA	Xavier Edwards		1060	1252/-5000	1550/-5000	-	1200	850	-	-		1199
-76.4	-73.3	PIT	Ji Hwan Bae	*	1000	1135/-3830	1425/-3000	1000/-5000	-	475	1400/-4000	850/-2000		
-72.8	-74.3	CLE	Steven Kwan		1100	1338/-8000	1650/-8000	-	1400	1100	-	1200/-5000		
-75.3	-76.5	CLE	Myles Straw		1100	1383/-8000	1650/-8000	-	1400	1000	-	-		
