NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Cam Fowler	ANA	'+410	A	pts	0.5	0.57	0.77 - 0.44	0.56 - 0.57	39%	0,0,0,0,1,0,0,0,1,3	46%	'+135	-165
Cam Fowler	ANA	'+410	A	ast	0.5	0.43	0.58 - 0.33	0.38 - 0.49	33%	0,0,0,0,0,0,0,0,1,3	38%	'+190	-235
Cam Fowler	ANA	'+410	A	g	0.5	0.13	0.18 - 0.11	0.18 - 0.08	11%	0,0,0,0,1,0,0,0,0,0	12%	'+700	0
Cameron York	PHI	'+185	A	g	0.5	0.04	0.0 - 0.07	0.09 - 0.0	4%	0,1,0,0,0,0,0,0,0,0	10%	'+650	0
Carl Grundstrom	LA	-120	A	g	0.5	0.24	0.27 - 0.12	0.17 - 0.29	20%	1,0,0,0,0,2,1,1,0,0	17%	'+450	0
Casey Cizikas	NYI	'+150	A	g	0.5	0.07	0.1 - 0.03	0.08 - 0.05	7%	0,0,0,0,0,0,0,0,0,0	14%	'+650	0
Chad Ruhwedel	PIT	-215	H	g	0.5	0.02	0.04 - 0.0	0.0 - 0.04	2%	0,0,0,1,0,0,0,0,0,0	5%	'+1000	0
Charlie Coyle	BOS	-215	A	pts	0.5	0.54	0.58 - 0.28	0.68 - 0.39	43%	0,0,0,0,0,1,0,2,1,1	45%	'+130	-160
Charlie Coyle	BOS	-215	A	ast	0.5	0.37	0.41 - 0.16	0.45 - 0.29	32%	0,0,0,0,0,1,0,1,1,1	32%	'+220	-280
Charlie Coyle	BOS	-215	A	g	0.5	0.17	0.18 - 0.12	0.24 - 0.11	17%	0,0,0,0,0,0,0,1,0,0	20%	'+310	0
Charlie Mcavoy	BOS	-215	A	pts	0.5	0.79	0.89 - 0.48	0.75 - 0.84	54%	1,1,1,2,0,0,0,2,0,0	49%	-105	-125
Charlie Mcavoy	BOS	-215	A	ast	0.5	0.68	0.76 - 0.42	0.59 - 0.77	48%	0,1,1,2,0,0,0,1,0,0	42%	'+130	-160
Charlie Mcavoy	BOS	-215	A	g	0.5	0.11	0.13 - 0.06	0.16 - 0.06	11%	1,0,0,0,0,0,0,1,0,0	9%	'+500	0
Chris Kreider	NYR	-135	A	sog	2.5	3.0	3.27 - 2.48	2.89 - 3.11	53%	1,3,4,4,0,4,1,2,4,5	56%	-110	-120
Chris Kreider	NYR	-135	A	pts	0.5	0.7	0.8 - 0.54	0.68 - 0.72	55%	0,1,1,0,0,0,1,1,2,0	60%	-120	-110
Chris Kreider	NYR	-135	A	ast	0.5	0.26	0.26 - 0.23	0.19 - 0.33	23%	0,0,1,0,0,0,0,0,0,0	26%	'+220	-280
Chris Kreider	NYR	-135	A	g	0.5	0.44	0.54 - 0.31	0.49 - 0.39	37%	0,1,0,0,0,0,1,1,2,0	48%	'+150	0
Chris Wagner	BOS	-215	A	g	0.5	0.0	0.0 - 0	0.0 - 0	0%	0	0%	'+600	0
Christian Wolanin	VAN	'+100	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+600	0
Claude Giroux	OTT	-180	A	sog	2.5	2.57	2.25 - 2.68	2.84 - 2.31	45%	1,6,0,3,2,6,1,8,1,4	49%	-120	-110
Claude Giroux	OTT	-180	A	pts	0.5	0.95	1.41 - 0.51	0.84 - 1.05	59%	0,1,1,0,2,0,1,1,0,0	61%	-210	'+170
Claude Giroux	OTT	-180	A	ast	0.5	0.57	0.96 - 0.19	0.49 - 0.64	41%	0,0,1,0,2,0,1,1,0,0	45%	-105	-125
Claude Giroux	OTT	-180	A	g	0.5	0.38	0.44 - 0.32	0.35 - 0.41	34%	0,1,0,0,0,0,0,0,0,0	25%	'+140	0
Colton Parayko	STL	'+185	H	g	0.5	0.05	0.06 - 0.05	0.11 - 0.0	5%	0,0,0,0,0,0,0,0,0,0	9%	'+800	0
Colton White	ANA	'+410	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1300	0
Connor Clifton	BOS	-215	A	g	0.5	0.07	0.08 - 0.0	0.03 - 0.11	7%	0,0,0,0,0,0,0,0,0,0	5%	'+1000	0
