NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Tyler Toffoli	CGY	-520	H	pts	0.5	0.91	1.36 - 0.51	1.03 - 0.78	59%	2,0,2,0,3,1,1,4,0,1	44%	-220	'+180
Tyler Toffoli	CGY	-520	H	ast	0.5	0.47	0.7 - 0.27	0.51 - 0.43	39%	0,0,0,0,3,0,1,2,0,1	30%	'+100	-130
Tyler Toffoli	CGY	-520	H	g	0.5	0.43	0.66 - 0.24	0.51 - 0.35	36%	2,0,2,0,0,1,0,2,0,0	21%	'+125	0
Tyler Tucker	STL	'+185	H	g	0.5	0.04	0.0 - 0.08	0.0 - 0.05	4%	0,0,0,0,0,0,1,0,0,0	0%	'+1100	0
Urho Vaakanainen	ANA	'+410	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1600	0
Vasily Podkolzin	VAN	'+100	H	g	0.5	0.1	0.18 - 0.03	0.1 - 0.11	10%	0,1,0,0,0,0,0,0,0,1	18%	'+330	0
Viktor Arvidsson	LA	-120	A	sog	3.5	2.96	3.1 - 2.71	2.56 - 3.37	32%	1,7,1,8,3,3,4,4,4,4	47%	'+120	-150
Viktor Arvidsson	LA	-120	A	pts	0.5	0.75	1.04 - 0.38	0.64 - 0.86	48%	0,0,0,3,2,2,0,1,1,0	60%	-135	'+105
Viktor Arvidsson	LA	-120	A	ast	0.5	0.41	0.54 - 0.25	0.33 - 0.49	31%	0,0,0,1,0,1,0,0,1,0	39%	'+185	-230
Viktor Arvidsson	LA	-120	A	g	0.5	0.34	0.51 - 0.13	0.31 - 0.37	28%	0,0,0,2,2,1,0,1,0,0	25%	'+170	0
Vincent Trocheck	NYR	-135	A	sog	2.5	2.78	2.61 - 2.82	2.76 - 2.79	43%	2,2,1,4,1,1,2,1,1,2	40%	'+120	-150
Vincent Trocheck	NYR	-135	A	pts	0.5	0.78	1.05 - 0.45	0.66 - 0.89	49%	0,0,2,0,0,0,2,1,2,2	47%	-110	-120
Vincent Trocheck	NYR	-135	A	ast	0.5	0.51	0.7 - 0.3	0.45 - 0.58	42%	0,0,1,0,0,0,2,1,2,2	30%	'+175	-215
Vincent Trocheck	NYR	-135	A	g	0.5	0.26	0.35 - 0.15	0.21 - 0.32	24%	0,0,1,0,0,0,0,0,0,0	29%	'+250	0
Vitali Kravtsov	VAN	'+100	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+380	0
Vladimir Tarasenko	NYR	-135	A	sog	2.5	2.04	1.34 - 2.78	1.73 - 2.5	36%	2,1,1,0,1,5,1,4,3,1	0%	'+125	-155
Vladimir Tarasenko	NYR	-135	A	pts	0.5	0.6	0.73 - 0.36	0.47 - 0.8	48%	0,0,1,0,1,0,0,2,1,1	0%	-110	-120
Vladimir Tarasenko	NYR	-135	A	ast	0.5	0.36	0.46 - 0.17	0.33 - 0.4	32%	0,0,0,0,1,0,0,1,1,1	0%	'+195	-240
Vladimir Tarasenko	NYR	-135	A	g	0.5	0.24	0.27 - 0.18	0.13 - 0.4	24%	0,0,1,0,0,0,0,1,0,0	0%	'+200	0
Vladislav Gavrikov	LA	-120	A	g	0.5	0.06	0.13 - 0.0	0.04 - 0.08	6%	0,0,0,0,0,0,0,0,0,0	4%	'+750	0
Vladislav Namestnikov	WPG	-115	H	g	0.5	0.14	0.24 - 0.0	0.25 - 0.0	7%	0,0,0,0,0,0,0,0,0,0	0%	'+450	0
Wade Allison	PHI	'+185	A	g	0.5	0.15	0.23 - 0.1	0.12 - 0.18	15%	0,0,0,0,0,0,0,0,0,0	0%	'+425	0
Wayne Simmonds	TOR	-275	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	6%	'+425	0
William Nylander	TOR	-275	H	sog	3.5	3.47	3.52 - 3.12	3.19 - 3.74	44%	2,4,3,1,3,3,2,2,3,5	33%	'+115	-145
William Nylander	TOR	-275	H	pts	1.5	1.09	1.35 - 0.7	0.86 - 1.32	29%	1,0,0,0,2,0,0,0,0,1	30%	'+175	-215
William Nylander	TOR	-275	H	ast	0.5	0.6	0.76 - 0.36	0.51 - 0.68	45%	0,0,0,0,1,0,0,0,0,0	49%	-110	-120
William Nylander	TOR	-275	H	g	0.5	0.49	0.59 - 0.34	0.35 - 0.63	44%	1,0,0,0,1,0,0,0,0,1	35%	'+110	0
Yegor Sharangovich	NJ	-105	A	g	0.5	0.19	0.23 - 0.13	0.29 - 0.09	17%	0,0,0,0,1,0,0,0,0,0	24%	'+285	0
Zach Aston-Reese	TOR	-275	H	g	0.5	0.11	0.11 - 0.09	0.07 - 0.16	10%	0,1,0,0,0,0,0,2,0,0	8%	'+550	0
Zach Parise	NYI	'+150	A	g	0.5	0.27	0.43 - 0.11	0.18 - 0.37	26%	0,0,1,0,1,1,1,1,0,0	16%	'+380	0
Zack Macewen	LA	-120	A	g	0.5	0.04	0.11 - 0.0	0.08 - 0.0	4%	0,0,0,0,0,0,0,0,0,0	4%	'+500	0
