NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Robbie Gould	-200	H	SF	DAL		fgm	1.5	1.7	1.86 - 1.25	1.0 - 2.3	44%	67%	4,1,3,3,0,0,4,2,1,3,1,3,0,1,1,1,2,1	0%	-120	-110
Deebo Samuel	-200	H	SF	DAL	16th	rush_yds	17.5	18.9	19.3 - 17.75	23.6 - 16.22	43%	67%	32,4,21,5,0,37,27,2,11,12,2,6,53,52	50%	-110	-120
Tony Pollard	'+170	A	DAL	SF	23rd	rec	2.5	2.5	2.58 - 2.2	2.25 - 2.67	41%	67%	3,0,6,4,4,2,2,6,3,1,2,2,0,1,0,4,2	53%	-145	'+105
Logan Wilson	'+200	A	CIN	BUF	8th	tackles_combined	8.5	8.3	8.83 - 6.75	7.89 - 8.86	38%	67%	10,8,9,15,17,7,9,8,4,8,5,7,7,7,3,9	31%	-130	'+100
Dak Prescott	'+170	A	DAL	SF	24th	pass_att	34.5	32.8	31.67 - 35.5	35.33 - 30.71	38%	67%	33,37,41,35,30,39,30,30,25,46,27,25,29	62%	-130	'+100
Deommodore Lenoir	-200	H	SF	DAL	25th	tackles_combined	5.5	4.9	5.21 - 3.67	5.43 - 4.6	35%	67%	5,7,7,9,10,5,1,5,4,1,2,4,2,8,8,5,1	0%	'+120	-150
James Cook	-240	H	BUF	CIN	10th	rush_yds	39.5	32.1	36.14 - 13.33	24.38 - 39.0	29%	67%	39,45,99,34,6,64,4,86,22,15,35,8,31,0,3,53,2	0%	-110	-120
Bj Hill	'+200	A	CIN	BUF		sacks	0.25	0.2	0.23 - 0.25	0.11 - 0.38	29%	67%	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	31%	'+240	-320
Joe Burrow	'+200	A	CIN	BUF	28th	pass_att	39.5	37.5	36.85 - 39.75	38.44 - 36.5	24%	67%	32,42,52,39,33,31,37,39,28,35,42,37,35,31,36,36,53	19%	-125	-105
Ed Oliver	-240	H	BUF	CIN		sacks	0.75	0.3	0.27 - 0.25	0.33 - 0.21	23%	67%	1,0,1,0,0,0,1,0,0,0,0,0,0	19%	'+195	-240
Brock Purdy	-200	H	SF	DAL	8th	pass_yds	240.5	170.6	182.22 - 66.0	125.25 - 200.83	20%	67%	332,178,284,234,217,185,210,0,66,0	0%	-115	-115
Ezekiel Elliott	'+170	A	DAL	SF	2nd	rush_yds	33.5	56.4	58.5 - 50.25	50.75 - 62.12	88%	33%	27,10,37,55,58,62,77,92,42,57,81,78,49,73,53,52	76%	-115	-115
Nick Bosa	-200	H	SF	DAL		sacks	0.25	1.1	1.11 - 1.0	0.79 - 1.3	76%	33%	0,1,0,2,1,0,3,1,1,1,1,1,0,2,1,2,1	71%	-195	'+160
Jimmie Ward	-200	H	SF	DAL	25th	tackles_combined	3.5	4.3	4.55 - 2.0	5.25 - 3.88	67%	33%	2,3,7,4,4,8,5,3,5,4,5,2	81%	-105	-125
Joe Burrow	'+200	A	CIN	BUF	10th	pass_td	1.5	2.1	2.31 - 1.5	2.44 - 1.75	65%	33%	1,1,3,4,2,2,1,4,1,2,3,3,1,2,3,1,2	69%	-155	'+125
Noah Brown	'+170	A	DAL	SF	20th	rec_yds	12.5	35.8	39.36 - 28.0	22.0 - 53.57	62%	33%	18,10,7,5,49,85,15,42,3,50,10,5,61,54,91,68	56%	-115	-115
Noah Brown	'+170	A	DAL	SF	23rd	rec	1.5	2.8	2.82 - 2.8	2.22 - 3.57	62%	33%	2,1,1,1,6,4,2,2,1,5,1,1,3,5,5,5	44%	'+120	-150
Josh Allen	-240	H	BUF	CIN	11th	rush_att	7.5	7.5	7.5 - 7.67	9.25 - 6.0	59%	33%	4,9,6,10,10,8,10,3,6,9,6,12,5,11,8,1,10	47%	-150	'+120
Samaje Perine	'+200	A	CIN	BUF	21st	rec	1.5	2.2	2.08 - 2.75	2.67 - 1.75	59%	33%	0,1,3,1,1,6,4,4,1,3,2,2,4,0,2,1,3	53%	-160	'+130
Tony Pollard	'+170	A	DAL	SF	2nd	rush_yds	47.5	63.8	68.58 - 52.2	75.12 - 53.67	59%	33%	77,19,19,75,42,91,60,80,115,131,83,44,86,6,105,43,8	47%	-120	-110
Deebo Samuel	-200	H	SF	DAL	15th	rec	4.5	4.4	4.3 - 4.75	4.6 - 4.33	57%	33%	6,2,4,6,3,7,2,5,7,2,6,5,5,2	56%	-120	-110
Devin Singletary	-240	H	BUF	CIN	23rd	rec_yds	8.5	16.5	12.71 - 34.0	26.5 - 7.56	53%	33%	0,3,19,28,4,0,8,11,0,24,16,22,4,47,78,2,14	47%	-120	-110
Devin Singletary	-240	H	BUF	CIN	11th	rec	1.5	2.2	1.71 - 4.67	3.25 - 1.33	53%	33%	0,1,2,3,1,0,1,2,1,4,1,4,1,4,9,2,2	47%	-110	-130
