EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
2.4	tahj brooks	attd	oregon @ texas tech	-	-175	-	-175	-	-	-
2.4	rodney hammond	attd	cincinnati @ pittsburgh	-135	-	-	-	-	-	-
2.4	myles price	attd	oregon @ texas tech	-105	100	-	100	-	-	-
2.4	jackson acker	attd	wisconsin @ washington state	-	310	-	320	-	-	-
2.4	dylan edwards	attd	nebraska @ colorado	-115	-115	-	-125	-	-	-
2.4	baylor cupp	attd	oregon @ texas tech	-	320	-	310	-	-	-
2.3	donovan edwards	attd	unlv @ michigan	-410	-	-	-400	-	-	-
2.3	baylin brooks	attd	ucla @ san diego state	340	350	-	340	-	-	-
2.2	tanner mordecai	attd	wisconsin @ washington state	230	220	-	220	-	-	-
2.2	ketron jackson	attd	utah @ baylor	350	360	-	350	-	-	-
2.2	jaylen lloyd	attd	nebraska @ colorado	-	370	-	360	-	-	-
2.2	iowa defense	attd	iowa @ iowa state	360	370	-	-	-	-	-
2.2	cbo flemister	attd	cincinnati @ pittsburgh	135	-	-	-	-	-	-
2.1	will sheppard	attd	vanderbilt @ wake forest	-150	-	-	-150	-	-	-
2.1	justice ellison	attd	vanderbilt @ wake forest	-150	-	-	-150	-	-	-
2.1	gavin bartholomew	attd	cincinnati @ pittsburgh	145	-	-	-	-	-	-
2.1	gary bryant	attd	oregon @ texas tech	140	140	-	145	-	-	-
2.0	tj sheffield	attd	purdue @ virginia tech	155	-	-	150	-	-	-
2.0	ricky white	attd	unlv @ michigan	410	-	-	400	-	-	-
2.0	michael wiley	attd	arizona @ mississippi state	-115	-	-	-115	-	-	-
2.0	jacob cowing	attd	arizona @ mississippi state	-115	-	-	-115	-	-	-
2.0	brennan armstrong	attd	notre dame @ nc state	150	145	-	145	-	-	-
2.0	braylon braxton	attd	tulsa @ washington	410	-	-	400	-	-	-
2.0	braylin presley	attd	tulsa @ washington	410	-	-	400	-	-	-
2.0	alton mccaskill	attd	nebraska @ colorado	-	400	-	390	-	-	-
1.9	tyler shough	attd	oregon @ texas tech	165	170	-	170	-	-	-
1.9	tyler morris	attd	unlv @ michigan	340	-	-	340	-	-	-
1.9	troy franklin	attd	oregon @ texas tech	-125	-120	-	-125	-	-	-
1.9	nebraska defense	attd	nebraska @ colorado	440	450	-	-	-	-	-
1.9	kobe hudson	attd	ucf @ boise state	160	165	-	-	-	-	-
1.9	darrius clemons	attd	unlv @ michigan	340	-	-	340	-	-	-
1.8	quinshon judkins	attd	mississippi @ tulane	-750	-700	-	-750	-	-	-
1.8	jerand bradley	attd	oregon @ texas tech	-150	-150	-	-155	-	-	-
1.7	xavier guillory	attd	oklahoma state @ arizona state	190	190	-	195	-	-	-
1.7	mekhi shaw	attd	ucla @ san diego state	190	195	-	190	-	-	-
1.7	jase mcclellan	attd	texas @ alabama	-160	-155	-	-160	-	-	-
