Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rec	28.2	-	-	-	-	-	-	28.2	-
	rec_yd	196.0	-	-	-	-	-	-	196.0	-
	rec_td	1.4	-	-	-	-	-	-	1.4	-

Austin Ekeler
146.33 FPTS	rush_att	124.1	-	-	-	-	-	-	124.1	-
8.07 ADP	rush_yd	476.1	-	-	o435.5 -115/-115	-	-	-	516.6	-
	rush_td	4.1	-	-	-	-	-	-	4.1	-
	rec	46.8	-	-	-	-	-	-	46.8	-
	rec_yd	387.2	-	-	o400.5 -115/-115	-	-	-	373.9	-
	rec_td	2.0	-	-	-	-	-	-	2.0	-

Chase Brown
144.94 FPTS	rush_att	140.1	-	-	-	-	-	-	140.1	-
10.04 ADP	rush_yd	609.8	-	-	-	-	-	-	609.8	-
	rush_td	4.0	-	-	-	-	-	-	4.0	-
	rec	36.9	-	-	-	-	-	-	36.9	-
	rec_yd	301.1	-	-	-	-	-	-	301.1	-
	rec_td	1.9	-	-	-	-	-	-	1.9	-

Tyjae Spears
142.92 FPTS	rush_att	142.8	-	-	-	-	-	-	142.8	-
9.07 ADP	rush_yd	569.7	-	-	o515.5 -115/-115	-	-	-	623.9	-
	rush_td	3.6	-	-	-	-	-	-	3.6	-
	rec	43.3	-	-	-	-	-	-	43.3	-
	rec_yd	337.0	-	-	-	-	-	-	337.0	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Devin Singletary
142.76 FPTS	rush_att	196.3	-	-	-	-	-	-	196.3	-
8.04 ADP	rush_yd	743.0	o725.5 +100/-125	o750.5 -112/-112	o700.5 -115/-115	o750.5 -110/-110	o700.5 -112/-112	o725.5 -110/-110	848.1	-
	rush_td	4.4	o4.5 +100/-125	o4.5 -108/-118	o3.5 -140/110	o4.5 -105/-115	o4.5 103/-127	o4.5 -105/-115	5.0	-
	rec	33.0	-	-	-	-	-	-	33.0	-
	rec_yd	213.6	-	-	-	-	-	-	213.6	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Nick Chubb
138.58 FPTS	rush_att	164.6	-	-	-	-	-	-	164.6	-
7.12 ADP	rush_yd	783.6	-	-	-	-	-	-	783.6	-
	rush_td	5.4	-	-	-	-	-	-	5.4	-
	rec	18.7	-	-	-	-	-	-	18.7	-
	rec_yd	148.7	-	-	-	-	-	-	148.7	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Ezekiel Elliott
134.63 FPTS	rush_att	172.7	-	-	-	-	-	-	172.7	-
9.12 ADP	rush_yd	591.4	o575.5 -105/-115	o550.5 -112/-112	o575.5 -115/-115	o650.5 -110/-110	o525.5 -134/108	-	670.7	-
	rush_td	5.5	-	o5.5 +116/-148	o5.5 100/-130	o5.5 +100/-130	o5.5 115/-143	-	5.7	-
	rec	29.8	-	-	-	-	-	-	29.8	-
	rec_yd	197.9	-	-	-	-	-	-	197.9	-
	rec_td	1.3	-	-	-	-	-	-	1.3	-

Jonathon Brooks
133.34 FPTS	rush_att	161.3	-	-	-	-	-	-	161.3	-
8.06 ADP	rush_yd	702.5	-	-	-	-	-	-	702.5	-
	rush_td	4.6	-	-	-	-	-	-	4.6	-
	rec	23.7	-	-	-	-	-	-	23.7	-
	rec_yd	182.4	-	-	-	-	-	-	182.4	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Jerome Ford
127.24 FPTS	rush_att	146.8	-	-	-	-	-	-	146.8	-
10.07 ADP	rush_yd	577.8	-	-	-	-	-	-	577.8	-
	rush_td	3.6	-	-	-	-	-	-	3.6	-
	rec	30.6	-	-	-	-	-	-	30.6	-
	rec_yd	217.6	-	-	-	-	-	-	217.6	-
	rec_td	1.8	-	-	-	-	-	-	1.8	-

Gus Edwards
123.74 FPTS	rush_att	183.7	-	-	-	-	-	-	183.7	-
