Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Devin Asiasi	5.6	-	-	-	-	-	-	5.6	-
Kavontae Turpin	5.5	-	-	-	-	-	-	5.5	-
Elijah Higgins	5.5	-	-	-	-	-	-	11.0	0
Kevin Rader	5.5	-	-	-	-	-	-	5.5	-
Jalen Reagor	5.4	-	-	-	-	-	-	5.4	-
Denzel Mims	5.3	-	-	-	-	-	-	5.3	-
Erik Ezukanma	5.3	-	-	-	-	-	-	5.3	-
Kaylon Geiger Sr	5.2	-	-	-	-	-	-	5.2	-
Hunter Long	5.2	-	-	-	-	-	-	10.3	0
Tyler Kroft	5.2	-	-	-	-	-	-	7.2	3.1
Brayden Willis	5.0	-	-	-	-	-	-	10.0	0
Miller Forristall	5.0	-	-	-	-	-	-	10.0	0
Andrew Ogletree	5.0	-	-	-	-	-	-	10.0	0
Rakim Jarrett	4.9	-	-	-	-	-	-	4.9	-
Jakeem Grant Sr	4.8	-	-	-	-	-	-	4.8	-
Cole Turner	4.8	-	-	-	-	-	-	4.8	-
Jeremy Ruckert	4.7	-	-	-	-	-	-	6.2	3.1
Velus Jones	4.6	-	-	-	-	-	-	4.6	-
Connor Heyward	4.5	-	-	-	-	-	-	9.0	0
Stone Smartt	4.5	-	-	-	-	-	-	9.0	0
Ronnie Bell	4.4	-	-	-	-	-	-	4.4	-
Kevin Austin	4.3	-	-	-	-	-	-	4.3	-
James Mitchell	4.3	-	-	-	-	-	-	8.7	0
Darrius Shepherd	4.2	-	-	-	-	-	-	4.2	-
Ross Dwelley	4.2	-	-	-	-	-	-	3.6	4.7
Dax Milne	4.0	-	-	-	-	-	-	4.0	-
Marcedes Lewis	4.0	-	-	-	-	-	-	8.0	0
Ashton Dulin	3.9	-	-	-	-	-	-	4.5	3.2
Lance Mccutcheon	3.9	-	-	-	-	-	-	3.9	-
Cody Thompson	3.9	-	-	-	-	-	-	3.9	-
Jason Moore	3.9	-	-	-	-	-	-	3.9	-
Ray Ray Mccloud	3.8	-	-	-	-	-	-	3.8	-
Stanley Morgan	3.8	-	-	-	-	-	-	3.8	-
Tim Jones	3.8	-	-	-	-	-	-	3.8	-
Gunner Olszewski	3.7	-	-	-	-	-	-	3.7	-
Isaiah Coulter	3.7	-	-	-	-	-	-	3.7	-
Dezmon Patmon	3.7	-	-	-	-	-	-	3.7	-
Bo Melton	3.7	-	-	-	-	-	-	3.7	-
Seth Williams	3.7	-	-	-	-	-	-	3.7	-
Jacob Harris	3.7	-	-	-	-	-	-	3.7	-
Andre Baccellia	3.7	-	-	-	-	-	-	3.7	-
Chris Myarick	3.7	-	-	-	-	-	-	3.7	-
Maurice Alexander	3.6	-	-	-	-	-	-	3.6	-
Simi Fehoko	3.6	-	-	-	-	-	-	3.6	-
Keesean Johnson	3.6	-	-	-	-	-	-	3.6	-
Trinity Benson	3.5	-	-	-	-	-	-	3.5	-
Dennis Houston	3.5	-	-	-	-	-	-	3.5	-
Easop Winston	3.5	-	-	-	-	-	-	3.5	-
Brandon Johnson	3.5	-	-	-	-	-	-	3.5	-
Jamison Crowder	3.4	-	-	-	-	-	-	3.4	-
Cody Chrest	3.4	-	-	-	-	-	-	3.4	-
Jalen Virgil	3.4	-	-	-	-	-	-	3.4	-
Cj Saunders	3.4	-	-	-	-	-	-	3.4	-
Cam Sims	3.4	-	-	-	-	-	-	3.4	-
Keke Coutee	3.4	-	-	-	-	-	-	3.4	-
Charlie Woerner	3.4	-	-	-	-	-	-	3.4	-
Austin Trammell	3.3	-	-	-	-	-	-	3.3	-
Kawaan Baker	3.3	-	-	-	-	-	-	3.3	-
Keelan Cole Sr	3.3	-	-	-	-	-	-	3.3	-
Dez Fitzpatrick	3.2	-	-	-	-	-	-	3.2	-
Danny Gray	3.1	-	-	-	-	-	-	3.1	-
Michael Woods	3.1	-	-	-	-	-	-	3.1	-
Mason Kinsey	3.1	-	-	-	-	-	-	3.1	-
Curtis Hodges	3.1	-	-	-	-	-	-	6.3	0
Mitchell Wilcox	3.1	-	-	-	-	-	-	6.3	0
Racey Mcmath	3.0	-	-	-	-	-	-	3.0	-
Tylan Wallace	3.0	-	-	-	-	-	-	3.0	-
Chris Conley	3.0	-	-	-	-	-	-	3.0	-
Anthony Schwartz	3.0	-	-	-	-	-	-	3.0	-
Vyncint Smith	2.8	-	-	-	-	-	-	2.8	-
Mike Strachan	2.8	-	-	-	-	-	-	2.8	-
Josh Ali	2.8	-	-	-	-	-	-	2.8	-
Eric Tomlinson	2.8	-	-	-	-	-	-	5.5	0
Montrell Washington	2.7	-	-	-	-	-	-	2.7	-
Andy Isabella	2.5	-	-	-	-	-	-	2.5	-
Daurice Fountain	2.5	-	-	-	-	-	-	2.5	-
Greg Ward	2.5	-	-	-	-	-	-	2.5	-
Nsimba Webster	2.5	-	-	-	-	-	-	2.5	-
Tyler Davis	2.5	-	-	-	-	-	-	2.5	-
Keelan Doss	2.4	-	-	-	-	-	-	2.4	-
Keith Kirkwood	2.4	-	-	-	-	-	-	2.4	-
River Cracraft	2.3	-	-	-	-	-	-	4.6	0
Jaelon Darden	2.3	-	-	-	-	-	-	2.3	-
Trent Taylor	2.3	-	-	-	-	-	-	2.3	-
Matthew Slater	2.1	-	-	-	-	-	-	2.1	-
Joe Reed	2.1	-	-	-	-	-	-	2.1	-
Jalen Camp	2.1	-	-	-	-	-	-	2.1	-
Nick Vannett	2.1	-	-	-	-	-	-	2.1	-
Parker Hesse	2.0	-	-	-	-	-	-	2.0	-
Alex Erickson	1.9	-	-	-	-	-	-	1.9	-
Shane Zylstra	1.9	-	-	-	-	-	-	3.9	0
Dominique Dafney	1.9	-	-	-	-	-	-	3.9	0
Tanner Conner	1.9	-	-	-	-	-	-	3.9	0
Tommy Sweeney	1.9	-	-	-	-	-	-	3.7	0
James Proche	1.8	-	-	-	-	-	-	1.8	-
Mason Schreck	1.8	-	-	-	-	-	-	3.6	0
Dalton Keene	1.8	-	-	-	-	-	-	3.6	0
Grant Calcaterra	1.7	-	-	-	-	-	-	3.4	0
Miles Boykin	1.6	-	-	-	-	-	-	1.6	-
David Wells	1.6	-	-	-	-	-	-	3.2	0
Feleipe Franks	1.6	-	-	-	-	-	-	3.1	0
Kaden Smith	1.6	-	-	-	-	-	-	3.2	0
Noah Togiai	1.5	-	-	-	-	-	-	3.0	0
Tyler Mabry	1.4	-	-	-	-	-	-	2.8	0
Breshad Perriman	0.9	-	-	-	-	-	-	0.9	-
Jason Brownlee	0.8	-	-	-	-	-	-	0.8	-
Matt Sokol	0.8	-	-	-	-	-	-	1.7	0
Sean Mckeon	0.5	-	-	-	-	-	-	1.0	0
Ben Mason	0.3	-	-	-	-	-	-	0.3	-
Hunter Kampmoyer	0.2	-	-	-	-	-	-	0.5	0
Kayshon Boutte	0.0	-	-	-	-	-	-	0.0	-
Xavier Hutchinson	0.0	-	-	-	-	-	-	0.0	-
At Perry	0.0	-	-	-	-	-	-	0.0	-
Tyler Scott	0.0	-	-	-	-	-	-	0.0	-
Andrei Iosivas	0.0	-	-	-	-	-	-	0.0	-
Bryce Ford Wheaton	0.0	-	-	-	-	-	-	0.0	-
Nkeal Harry	0.0	-	-	-	-	-	-	0.0	0
Mycole Pruitt	0.0	-	-	-	-	-	-	0.0	0
Kendall Blanton	0.0	-	-	-	-	-	-	0.0	0
Tyree Jackson	0.0	-	-	-	-	-	-	0.0	0
Jacob Hollister	0.0	-	-	-	-	-	-	0.0	0
