EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-40.8	-	800 FD	11%	BOS @ TOR	Andres Gimenez	tb	o 3.5	'+800	-	'+750	-	-	-	-	0%	0%	1,1,1,1,2,1,1,0,1,0,0,0,2,0,1,2,0,0,0,0,3,0,0,0,1,0,1,0,0	11th	19th
-40.8	-	800 FD	11%	ARI @ NYM	Geraldo Perdomo	tb	o 3.5	'+800	-	'+750	-	-	-	-	0%	0%	1,1,1,2,2,0,1,3,0,0,1,0,3,1,1,0,1,1,1,2,0,0,0,2,0,1,0,1,2,1	1st	3rd
-40.9	-	600 FD	14%	MIN @ CLE	Nolan Jones	rbi	o 1.5	'+600	-	'+600	-	-	-	-	4%	0%	0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0	7th	21st
-40.9	-	600 FD	14%	CHC @ PIT	Seiya Suzuki	rbi	o 1.5	'+600	-	'+600	-	-	-	-	30%	0%	0,0,0,0,0,2,1,3,5,0,0,0,1,2,1,0,0,0,1,2,0,2,0,3,0,2,0	16th	20th
-40.9	-	600 FD	14%	CHC @ PIT	Michael Busch	rbi	o 1.5	'+600	-	'+600	-	-	-	-	14%	0%	0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,3,1,2,0,0,1,2,1,0,0,0,0,0,0	16th	20th
-41.0	-	850 FD	11%	ATH @ TEX	Max Schuemann	tb	o 3.5	'+850	-	'+800	-	-	-	-	0%	0%	0,0,0,2,0,0,0,0,2,1,0,0,1,0,1,1,1	3rd	15th
-41.1	-44.9	900 MGM	10%	BOS @ TOR	Alan Roden	hr	o 0.5	'+900	-	'+900	'+900/-1600	875/-2195	-	650	4%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	8th	19th
-41.2	-42.5	900 FD	10%	MIN @ CLE	Christian Vazquez	hr	o 0.5	'+900	-	'+900	'+875/-1600	851/-2090	900/-2500	-	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	23rd	14th
-41.2	-	550 FD	15%	CHC @ PIT	Kyle Tucker	rbi	o 1.5	'+550	-	'+550	-	-	-	-	26%	0%	0,1,1,0,2,3,3,1,0,0,1,3,1,0,0,0,2,0,0,0,1,2,2,0,2,0,0,0,0,1,1	16th	20th
-41.3	-	1100 DK	8%	DET @ LAA	Gleyber Torres	sb	o 0.5	'+850	-	'+1100/-2500	-	-	-	-	0%	0%		16th	5th
