Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Jose Barrero","CIN",7,11,10,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0.1,23378
2023,"Wander Franco","TBR",9,20,18,6,2,3,0,1,4,4,1,0,2,1,0,0,0,2,1,0.33333333,23667
2023,"Julio Rodriguez","SEA",5,11,9,2,0,2,0,0,4,0,2,0,5,0,0,0,0,1,0,0.22222222,23697
2023,"Alek Thomas","ARI",7,11,10,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.1,23792
2023,"Ji Hwan Bae","PIT",6,10,10,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.3,23818
2023,"Steven Kwan","CLE",6,16,13,5,4,1,0,0,0,3,2,0,2,0,1,0,2,1,0,0.38461538,24610
2023,"Brendan Donovan","STL",8,10,9,2,2,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0.22222222,24679
2023,"Logan O'Hoppe","LAA",5,11,11,4,2,0,0,2,2,5,0,0,2,0,0,0,1,0,0,0.36363636,24729
2023,"James Outman","LAD",6,10,5,2,1,0,0,1,1,1,4,0,1,1,0,0,0,1,0,0.4,24770
2023,"David Villar","SFG",6,11,10,1,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0.1,24782
2023,"David Hensley","HOU",4,10,9,3,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.33333333,25111
2023,"Bobby Witt Jr.","KCR",5,10,9,3,2,0,0,1,3,1,1,0,3,0,0,0,0,3,0,0.33333333,25764
2023,"CJ Abrams","WSN",9,22,18,5,3,1,1,0,3,3,3,0,6,0,0,1,0,1,1,0.27777778,25768
2023,"Shea Langeliers","OAK",4,12,11,1,1,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0.09090909,25816
2023,"Corbin Carroll","ARI",9,15,15,6,5,0,0,1,3,2,0,0,2,0,0,0,1,1,0,0.4,25878
2023,"Michael Harris II","ATL",7,11,10,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.1,25931
2023,"Riley Greene","DET",7,16,16,4,4,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0.25,25976
2023,"Andrew Vaughn","CHW",6,11,9,2,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0.22222222,26197
2023,"Adley Rutschman","BAL",10,21,17,7,6,0,0,1,3,1,4,0,2,0,0,0,1,0,0,0.41176471,26288
2023,"Gunnar Henderson","BAL",6,12,8,0,0,0,0,0,1,0,4,0,5,0,0,0,0,0,0,0,26289
2023,"Bryson Stott","PHI",9,24,23,8,8,0,0,0,0,2,1,0,4,0,0,0,1,0,0,0.34782609,26294
2023,"Spencer Steer","CIN",7,15,13,5,4,0,0,1,3,3,2,0,3,0,0,0,0,0,0,0.38461538,26323
2023,"Spencer Torkelson","DET",4,12,12,3,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.25,27465
2023,"Ha-Seong Kim","SDP",7,20,16,6,2,3,0,1,2,3,3,0,3,0,0,1,0,0,0,0.375,27506
2023,"Vinnie Pasquantino","KCR",9,12,9,1,1,0,0,0,1,1,3,0,4,0,0,0,0,0,0,0.11111111,27676
2023,"Joey Wiemer","MIL",7,10,10,3,0,2,0,1,2,3,0,0,2,0,0,0,0,0,0,0.3,27690
2023,"Masataka Yoshida","BOS",7,16,13,4,4,0,0,0,1,3,3,0,2,0,0,0,1,0,0,0.30769231,31837
