NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Josh Naylor	'+230	1B	L	4	.224	CLE	@	CIN	18th	27th	bb	0.5	0,0,1,0,1,0,0,0,1,0	0.4	34%	30%	22%	45%	.308 4-13, 1 HR, 5 RBI, 1 BB, 0 SO	Lodolo	L		-330
George Springer	'+220	RF	R	5	.202	TOR	@	MIL	20th	11th	bb	0.5	0,0,0,0,1,0,0,0,0,1	0.47	33%	20%	38%	36%	.222 4-18, 0 HR, 1 RBI, 2 BB, 3 SO	Myers	R		-310
Steven Kwan	'+160	LF	L	1	.380	CLE	@	CIN	18th	27th	bb	0.5	1,1,1,1,0,0,0,2,2,1	0.44	33%	70%	37%	56%	.286 6-21, 0 HR, 3 RBI, 1 BB, 2 SO	Lodolo	L	.000 0-2, 0 HR, 1 RBI, 1 BB, 1 SO	-220
Jorge Soler	'+175	DH	R	6	.209	SF	v	HOU	27th	19th	bb	0.5	0,0,0,0,0,0,0,0,1,1	0.36	33%	20%	34%	33%	.176 3-17, 2 HR, 3 RBI, 4 BB, 4 SO	Valdez	L	.250 2-8, 1 HR, 1 RBI, 0 BB, 1 SO	-240
Jose Ramirez	'+170	3B	S	3	.267	CLE	@	CIN	18th	27th	bb	0.5	0,1,0,0,1,1,1,1,0,1	0.38	33%	60%	34%	35%	.350 7-20, 0 HR, 1 RBI, 2 BB, 4 SO	Lodolo	L	.000 2-2, 1 HR, 3 RBI, 0 BB, 0 SO	-230
Daulton Varsho	'+240	LF	L	7	.219	TOR	@	MIL	20th	11th	bb	0.5	1,0,0,0,1,0,1,0,0,0	0.4	33%	30%	27%	17%	.263 5-19, 0 HR, 0 RBI, 0 BB, 2 SO	Myers	R		-350
Ben Rortvedt	'+170	C	L	9	.254	TB	v	CHC	22nd	15th	bb	0.5	0,0,0,0,1,0,0,0,0,1	0.4	33%	20%	22%	50%	.600 3-5, 0 HR, 0 RBI, 1 BB, 1 SO	Assad	R		-235
Oscar Colas	'+320	RF	L	6	.238	CHW	@	SEA	1st	2nd	bb	0.5	0,0,1,1,0,0,0,1,0	0.33	33%	30%	16%	0%	.462 6-13, 0 HR, 0 RBI, 0 BB, 3 SO	Miller	R		-500
Luis Torrens	'+320	C		-	.312	NYM	v	MIA	24th	14th	bb	0.5	1,0,0,0,0,1	0.33	33%	33%	0%	0%		Garrett	L		-500
Nick Loftin	'+220	2B	R	6	.292	KC	v	NYY	21st	13th	bb	0.5	0,0,0,0,0,1,2,0,1,1	0.41	33%	40%	0%	67%	.400 4-10, 0 HR, 0 RBI, 2 BB, 0 SO	Poteet	R		-310
Davis Schneider	'+155	LF	R	2	.218	TOR	@	MIL	20th	11th	bb	0.5	0,0,0,0,0,0,2,0,0,0	0.42	32%	10%	46%	0%	.000 0-5, 0 HR, 0 RBI, 0 BB, 1 SO	Myers	R		-215
Connor Joe	'+235	1B	R	3	.259	PIT	@	STL	13th	18th	bb	0.5	0,1,0,1,1,0,0,0,0,0	0.36	32%	30%	35%	37%	.273 12-44, 1 HR, 11 RBI, 4 BB, 7 SO	Gray	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-340
Fernando Tatis	'+105	RF	R	2	.283	SD	v	OAK	23rd	30th	bb	0.5	1,0,0,0,0,0,1,1,0,0	0.39	32%	30%	34%	40%	.333 7-21, 2 HR, 4 RBI, 3 BB, 6 SO	Harris	L		-140
Jake Bauers	'+180	1B	L	6	.208	MIL	v	TOR	14th	9th	bb	0.5	0,1,0,0,0,1,1,1,0,0	0.32	32%	40%	32%	40%	.125 2-16, 1 HR, 3 RBI, 3 BB, 6 SO	Bassitt	R	.250 2-8, 0 HR, 0 RBI, 0 BB, 1 SO	-250
Gleyber Torres	'+135	2B	R	6	.231	NYY	@	KC	17th	22nd	bb	0.5	0,0,0,0,0,1,0,0,0,1	0.38	32%	20%	31%	27%	.360 9-25, 2 HR, 7 RBI, 2 BB, 4 SO	Lynch	L		-185
Dansby Swanson	'+220	SS	R	7	.226	CHC	@	TB	5th	4th	bb	0.5	0,1,0,0,0,0,0,1,1,0	0.34	32%	30%	30%	8%	.214 3-14, 0 HR, 0 RBI, 1 BB, 2 SO	Civale	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-310
Josh Smith	'+215	3B	L	3	.287	TEX	@	LAD	9th	5th	bb	0.5	0,0,0,0,0,1,0,1,2,0	0.33	32%	30%	29%	25%	.000 0-4, 0 HR, 0 RBI, 1 BB, 1 SO	Buehler	R		-300
Brice Turang	'+185	2B	L	1	.296	MIL	v	TOR	14th	9th	bb	0.5	1,1,0,0,0,0,1,0,1,0	0.35	32%	40%	27%	20%	.000 0-16, 0 HR, 0 RBI, 1 BB, 4 SO	Bassitt	R		-255
Austin Slater	'+155	RF	R	1	.170	SF	v	HOU	27th	19th	bb	0.5	1,0,1,0,0,0,0,0,1,0	0.32	32%	30%	24%	18%	.500 3-6, 0 HR, 2 RBI, 0 BB, 1 SO	Valdez	L	.500 3-6, 0 HR, 2 RBI, 0 BB, 1 SO	-205
Josh Lowe	'+205	RF	L	5	.203	TB	v	CHC	22nd	15th	bb	0.5	0,0,0,0,0,0,0,0,1,1	0.32	32%	20%	23%	14%	.182 2-11, 0 HR, 0 RBI, 1 BB, 3 SO	Assad	R		-290
Leody Taveras	'+295	CF	S	9	.220	TEX	@	LAD	9th	5th	bb	0.5	1,1,1,0,0,1,0,0,0,0	0.33	32%	40%	23%	29%	.133 2-15, 0 HR, 2 RBI, 0 BB, 4 SO	Buehler	R		-450
Brenton Doyle	'+290	CF	R	2	.257	COL	@	MIN	3rd	3rd	bb	0.5	0,0,0,0,0,0,1,0,0,1	0.38	32%	20%	18%	20%	.211 4-19, 1 HR, 3 RBI, 1 BB, 9 SO	Lopez	R		-425
Brayan Rocchio	'+280	SS	S	9	.211	CLE	@	CIN	18th	27th	bb	0.5	0,2,0,0,0,0,0,0,0,1	0.42	32%	20%	17%	67%	.444 4-9, 0 HR, 1 RBI, 2 BB, 1 SO	Lodolo	L		-425
Heliot Ramos	'+165	LF	R	2	.316	SF	v	HOU	27th	19th	bb	0.5	0,0,0,2,4,0,0,0,0,0	0.48	32%	20%	0%	0%	.333 3-9, 0 HR, 0 RBI, 0 BB, 3 SO	Valdez	L		-225
Vinnie Pasquantino	'+150	1B	L	3	.239	KC	v	NYY	21st	13th	bb	0.5	0,0,0,0,0,2,0,0,0,1	0.38	31%	20%	39%	33%	.211 4-19, 0 HR, 0 RBI, 3 BB, 2 SO	Poteet	R		-200
Carlos Correa	'+140	SS	R	2	.271	MIN	v	COL	26th	24th	bb	0.5	0,0,0,0,0,1,0,1,0,1	0.43	31%	30%	37%	33%	.380 30-79, 3 HR, 19 RBI, 8 BB, 17 SO	Gomber	L	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	-190
Matt Chapman	'+165	3B	R	5	.236	SF	v	HOU	27th	19th	bb	0.5	1,0,1,0,0,0,3,2,0,0	0.38	31%	40%	36%	27%	.160 4-25, 2 HR, 3 RBI, 2 BB, 10 SO	Valdez	L	.143 2-14, 0 HR, 2 RBI, 1 BB, 4 SO	-220
Pete Alonso	'+170	1B	R	2	.236	NYM	v	MIA	24th	14th	bb	0.5	0,0,1,0,0,0,2,1,1,0	0.38	31%	40%	34%	33%	.265 18-68, 4 HR, 11 RBI, 6 BB, 21 SO	Garrett	L	.389 7-18, 2 HR, 4 RBI, 2 BB, 4 SO	-230
Jazz Chisholm	'+220	CF	L	5	.242	MIA	@	NYM	29th	26th	bb	0.5	0,1,0,0,0,0,1,0,0,1	0.35	31%	30%	27%	34%	.203 13-64, 3 HR, 6 RBI, 7 BB, 23 SO	Peterson	L	.000 0-7, 0 HR, 0 RBI, 1 BB, 2 SO	-310
Anthony Santander	'+175	RF	S	5	.224	BAL	v	ATL	10th	20th	bb	0.5	0,0,0,1,0,1,1,0,0,1	0.34	31%	40%	25%	17%	.438 7-16, 2 HR, 7 RBI, 1 BB, 3 SO	Schwellenbach	R		-245
Teoscar Hernandez	'+250	RF	R	5	.266	LAD	v	TEX	25th	10th	bb	0.5	0,1,0,0,1,0,0,1,0,1	0.35	31%	40%	24%	40%	.234 11-47, 2 HR, 6 RBI, 6 BB, 18 SO	Gray	R	.333 2-6, 0 HR, 0 RBI, 1 BB, 3 SO	-360
Wyatt Langford	'+215	LF	R	7	.229	TEX	@	LAD	9th	5th	bb	0.5	0,0,0,0,0,1,0,0,0,1	0.31	31%	20%	0%	100%	.000 0-3, 0 HR, 0 RBI, 1 BB, 0 SO	Buehler	R		-300
Carlos Santana	'+160	1B	S	6	.221	MIN	v	COL	26th	24th	bb	0.5	1,0,1,0,0,0,0,1,0,0	0.34	30%	30%	47%	46%	.226 7-31, 1 HR, 7 RBI, 4 BB, 7 SO	Gomber	L	.333 1-3, 0 HR, 1 RBI, 2 BB, 0 SO	-220
