NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Wil Myers	RF	R	3	CIN	v	CHC	15th	5.0	Smyly	L	.143 1-7, 1 HR, 1 RBI, 0 BB, 4 SO	1b	0.5	1,0,0,1	50%	0.6	48%	2	50%	'+130	-175
Jose Trevino	C	R	8	NYY	v	PHI	15th	5.0	Walker	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	2,0,1	67%	0.53	41%	0	0%	'+110	-145
Josh Donaldson	3B	R	-	NYY	v	PHI	15th	5.0	Walker	R	.125 2-16, 1 HR, 3 RBI, 1 BB, 6 SO	1b	0.5	0,0,1	33%	0.48	42%	0	0%	'+155	-215
Oswaldo Cabrera	3B	S	-	NYY	v	PHI	15th	5.0	Walker	R	.000 0-1, 0 HR, 1 RBI, 1 BB, 0 SO	1b	0.5	0,2,1,0	50%	0.52	43%	0	0%	'+140	-190
Kevin Kiermaier	CF	L	9	TOR	@	KC	30th	2.0	Singer	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	1,2,2	100%	0.52	42%	0	0%	-120	-110
Adolis Garcia	RF	R	4	TEX	v	BAL	4th	7.33	Bradish	R	.333 1-3, 0 HR, 1 RBI, 0 BB, 1 SO	1b	0.5	0,0,3,2	50%	0.54	44%	5	20%	-110	-120
Anthony Santander	RF	S	3	BAL	@	TEX	3rd	8.33	Gray	R		1b	0.5	0,1,2,2	75%	0.53	45%	6	67%	'+165	-220
Bryan De La Cruz	LF	R	7	MIA	v	MIN	4th	7.33	Mahle	R		1b	0.5	3,0,0,0	25%	0.45	38%	0	0%	'+105	-135
Bryson Stott	2B	L	-	PHI	@	NYY	14th	5.33	Cortes	L		1b	0.5	1,2,2,1	100%	0.55	41%	0	0%	'+105	-140
Randy Arozarena	LF	R	3	TB	@	WSH	15th	5.0	Williams	R		1b	0.5	1,0,1,1	75%	0.59	42%	0	0%	-120	-110
Christian Arroyo	2B	R	7	BOS	v	PIT	18th	4.67	Oviedo	R		1b	0.5	0,0,0,1	25%	0.67	51%	3	67%	-135	'+105
Robbie Grossman	LF	S	6	TEX	v	BAL	4th	7.33	Bradish	R		1b	0.5	0,1,2,0	50%	0.46	33%	3	33%	'+130	-175
Teoscar Hernandez	RF	R	3	SEA	v	LAA	8th	6.67	Detmers	L	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	0,1,0,0,0	20%	0.55	46%	5	80%	'+125	-170
