EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
-2.6	-	-5000 MGM	malta @ ukraine	1h_total	u 3.5	2100/-5000	-	1400/-5000	-	2000/-8000	-	-	-	-
-2.6	-	370 FD	england @ italy	away_corners	o 7.5	370/-600	-	-	-	290/-450	-	-	-	-
-2.6	-	-1100 MGM	cayman islands @ virgin islands	total	u 5.5	790/-1450	-	575/-1100	-	-	-	-	-	-
-2.7	-	-550 FD	serbia @ montenegro	home_corners	u 4.5	340/-550	-	-	-	425/-800	-	-	-	-
-2.7	-	-250 MGM	san marino @ denmark	2h_total	u 3.5	-	-	175/-250	-	-	-	205/-295	-	-
-2.7	-	-115 MGM	san marino @ denmark	1h_corners	u 5.5	-	-105/-125	-130/-115	-	-	-	-	-	-
-2.7	-	-1400 MGM	panama @ guatemala	total	u 4.5	940/-1800	-	700/-1400	-	-	-	-	-	-
-2.7	-	-190 PB	northern ireland @ slovenia	corners	o 7.5	-215/160	-	-225/155	-	-190/135	-	-210/155	-	-
-2.7	-	-120 PB	malta @ ukraine	corners	o 8.5	-122/-110	-145/+105	-145/100	-	-120/-120	-	-125/-106	-	-
-2.7	-	-50000 FD	lithuania @ hungary	total	u 6.5	4000/-50000	-	2500/-100000	-	4000/-50000	-	-	-	-
-2.7	-	-125 FD	lithuania @ hungary	away_total	u 0.5	-102/-125	-105/-125	100/-135	-	115/-150	-	104/-136	-	-
-2.7	-	-115 DK	lithuania @ hungary	2h_corners	u 4.5	-	-120/-115	-110/-135	-	-110/-130	-	-	-	-
-2.7	-	-5000 FD	lithuania @ hungary	1h_away_total	u 1.5	2100/-5000	-	1750/-12500	-	2200/-10000	-	-	-	-
-2.7	-	-5000 FD	england @ italy	1h_away_total	u 2.5	2100/-5000	-	-	-	2000/-8000	-	-	-	-
-2.7	-	-1400 MGM	el salvador @ martinique	total	u 4.5	940/-1800	-	700/-1400	-	-	-	-	-	-
-2.8	-	-265 BV	sporting sj @ municipal grecia	1h_total	o 0.5	-300/220	-	-	-265/+195	-	-	-	-	-
-2.8	-	-1450 FD	serbia @ montenegro	home_corners	u 5.5	620/-1450	-	-	-	950/-2247	-	-	-	-
-2.8	-	-650 MGM	san marino @ denmark	2h_total	u 4.5	-	-	400/-650	-	-	-	500/-835	-	-
-2.8	-	-2000 MGM	paraguay @ bolivia	1h_away_total	u 2.5	1200/-2400	-	900/-2000	-	-	-	-	-	-
-2.8	-	-29412 PB	northern ireland @ slovenia	away_total	u 3.5	3000/-50000	-	-	-	4500/-29412	-	-	-	-
-2.8	-	-118 FD	lithuania @ hungary	corners	o 8.5	-118/-112	-130/+100	-130/-115	-	-130/-110	-	-137/102	-	-
-2.8	-	104 FD	england @ italy	home_total	u 0.5	-132/104	-130/+100	-130/-110	-	-125/-105	-	-122/-108	-	-
-2.9	-	-1900 BV	sporting sj @ municipal grecia	1h_home_total	u 1.5	1140/-2400	-	-	'+950/-1900	-	-	-	-	-
-2.9	-	-375 PB	northern ireland @ slovenia	away_corners	o 2.5	-460/300	-	-	-	-375/240	-	-	-	-
-3.0	-	-8000 FD	uruguay @ brazil	1h_total	u 3.5	2900/-8000	-	2200/-35000	-	-	-	-	-	-
-3.0	-	-1000 MGM	peru @ argentina	home_total	u 3.5	700/-1450	-	550/-1000	-	-	-	-	-	-
-3.0	-	-8000 FD	peru @ argentina	1h_total	u 3.5	3800/-8000	-	2200/-100000	-	-	-	-	-	-
-3.0	-	-130 FD	paraguay @ bolivia	home_total	u 0.5	102/-130	-	105/-145	-	-	-	-	-	-
-3.0	-	-4500 FD	northern ireland @ slovenia	corners	u 14.5	1200/-4500	-	-	-	1800/-6993	-	-	-	-
-3.0	-	125 MGM	northern ireland @ slovenia	1h_away_corners	u 1.5	-	-	-190/125	-	-155/110	-	-	-	-
-3.0	-	-8000 FD	malta @ ukraine	corners	u 15.5	1550/-8000	-	-	-	2200/-10000	-	-	-	-
-3.0	-	-1000 FD	england @ italy	home_corners	u 5.5	510/-1000	-	-	-	700/-1399	-	-	-	-
-3.1	-	-450 FD	san marino @ denmark	corners	o 8.5	-450/300	-	-	-	-	-	-560/350	-	-
-3.1	-	-700 MGM	peru @ argentina	home_total	o 0.5	-900/520	-	-700/400	-	-	-	-	-	-
-3.1	-	-182 FD	northern ireland @ slovenia	corners	u 9.5	136/-182	-	138/-210	-	150/-220	-	150/-205	-	-
-3.1	-	-10000 MGM	malta @ ukraine	total	u 6.5	2000/-25000	-	1850/-10000	-	2500/-12500	-	-	-	-
