EV	PN EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi	ESPN
-34.7	-	750 BR	sheffield wednesday v blackburn	john buckley	atgs	o 0.5	-	-	725	-	600	-	750	-
-35.1	-	700 BR	leipzig v aston villa	youri tielemans	atgs	o 0.5	'+700	'+650	700	-	600	-	700	'+550
-35.5	-	800 CZ	atalanta v real madrid	federico valverde	atgs	o 0.5	'+750	'+650	700	-	800	-	700	'+650
-36.4	-	1800 FD	leverkusen v inter	edmond tapsoba	atgs	o 0.5	'+1800	'+900	1450	-	900	-	850	'+750
-36.5	-	900 CZ	portsmouth v norwich	marlon pack	atgs	o 0.5	-	-	825	-	900	-	650	-
-36.6	-	1000 CZ	club brugge v sporting lisbon	ardon jashari	atgs	o 0.5	'+950	'+800	950	-	1000	-	480	'+700
-36.7	-	700 CZ	portsmouth v norwich	terry devlin	atgs	o 0.5	-	-	-	-	700	-	650	-
-36.7	-	700 CZ	leverkusen v inter	jeremie frimpong	team_fgs	o 0.5	-	-	-	-	700	-	-	'+650
-36.9	-	650 DK	atalanta v real madrid	ederson lourenco	atgs	o 0.5	-	'+650	625	-	-	-	-	-
-37.0	-	1100 CZ	sheffield wednesday v blackburn	pol valentin	atgs	o 0.5	-	-	625	-	1100	-	1000	-
-37.1	-	800 CZ	sunderland v bristol city	max bird	atgs	o 0.5	-	-	-	-	800	-	700	-
-37.1	-	800 CZ	shakhtar v bayern munich	maryan shved	team_fgs	o 0.5	-	-	-	-	800	-	-	'+700
-37.1	-	800 CZ	shakhtar v bayern munich	artem bondarenko	team_fgs	o 0.5	-	-	-	-	800	-	-	'+700
-37.1	-	800 CZ	plymouth v swansea	harry darling	atgs	o 0.5	-	-	-	-	800	-	700	-
-37.3	-	600 CZ	brest v psv	mathias pereira lage	team_fgs	o 0.5	-	-	-	-	600	-	-	'+600
-37.4	-	900 FD	shakhtar v bayern munich	eric dier	atgs	o 0.5	'+900	'+700	675	-	900	-	-	'+700
-37.8	-	1100 DK	brest v psv	jerdy schouten	atgs	o 0.5	'+1000	'+1100	-	-	800	-	-	'+650
-38.3	-	1200 CZ	shakhtar v bayern munich	raphael guerreiro	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.3	-	1200 CZ	shakhtar v bayern munich	marlon gomes claudino	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.3	-	1200 CZ	shakhtar v bayern munich	anton glushchenko	atgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.3	-	1200 CZ	salzburg v paris st germain	warren zaire emery	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.3	-	1200 CZ	salzburg v paris st germain	nicolas capaldo	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.3	-	1200 CZ	club brugge v sporting lisbon	raphael onyedika	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+850
-38.4	-	900 CZ	shakhtar v bayern munich	leon goretzka	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	salzburg v paris st germain	vitinha	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	leverkusen v inter	henrikh mkhitaryan	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	leverkusen v inter	alex grimaldo	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	leipzig v aston villa	john mcginn	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	brest v psv	mahdi camara	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-38.4	-	900 CZ	atalanta v real madrid	davide zappacosta	team_fgs	o 0.5	-	-	-	-	900	-	-	'+750
-39.2	-	900 FD	shakhtar v bayern munich	dayot upamecano	atgs	o 0.5	'+900	'+800	775	-	800	-	750	'+650
-39.3	-	825 MGM	luton v stoke	marvelous nakamba	atgs	o 0.5	-	-	825	-	800	-	650	-
-39.5	-	1600 MGM	burnley v derby	liam thompson	atgs	o 0.5	-	-	1600	-	-	-	950	-
-40.0	-	1200 BR	leverkusen v inter	aleix garcia	atgs	o 0.5	'+900	'+800	850	-	1000	-	1200	'+750
-40.4	-	1000 CZ	shakhtar v bayern munich	min jae kim	atgs	o 0.5	-	'+800	-	-	1000	-	-	-
-40.6	-	750 CZ	leipzig v aston villa	ross barkley	team_fgs	o 0.5	-	-	-	-	750	-	-	'+700
-40.7	-	1700 MGM	portsmouth v norwich	regan poole	atgs	o 0.5	-	-	1700	-	1100	-	850	-
-40.7	-	650 CZ	brest v psv	edimilson fernandes	team_fgs	o 0.5	-	-	-	-	650	-	-	'+650
-42.6	-	775 MGM	leeds v middlesbrough	hayden hackney	atgs	o 0.5	-	-	775	-	750	-	700	-
-43.0	-	825 MGM	portsmouth v norwich	freddie potts	atgs	o 0.5	-	-	825	-	-	-	750	-
-43.1	-	1100 FD	shakhtar v bayern munich	newerton	atgs	o 0.5	'+1100	'+1000	900	-	-	-	-	'+650
-43.1	-	1100 CZ	salzburg v paris st germain	bobby clark	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+850
-43.1	-	1100 CZ	leverkusen v inter	nicolo barella	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+850
-43.1	-	1100 CZ	leverkusen v inter	federico dimarco	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+850
-43.1	-	1100 CZ	club brugge v sporting lisbon	maxime de cuyper	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+850
-43.1	-	1600 FD	club brugge v sporting lisbon	ricardo esgaio	atgs	o 0.5	'+1600	'+700	1300	-	1100	-	1000	'+750
-43.1	-	1100 CZ	brest v psv	richard ledezma	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+850
-43.1	-	1150 BR	atalanta v real madrid	dani ceballos	atgs	o 0.5	'+950	'+800	825	-	1000	-	1150	'+750
-43.2	-	1200 FD	club brugge v sporting lisbon	morten hjulmand	atgs	o 0.5	'+1200	'+900	800	-	1100	-	850	'+750
-43.7	-	1200 FD	brest v psv	armando obispo	atgs	o 0.5	'+1200	'+1200	-	-	800	-	-	'+650
-43.8	-	2200 FD	club brugge v sporting lisbon	jeremiah st juste	atgs	o 0.5	'+2200	'+800	1700	-	1100	-	950	'+750
-44.1	-	900 FD	salzburg v paris st germain	takumu kawamura	atgs	o 0.5	'+900	'+750	825	-	-	-	-	-
-44.9	-	1000 FD	salzburg v paris st germain	nicolas capaldo	atgs	o 0.5	'+1000	'+800	850	-	1000	-	800	'+700
-45.4	-	1700 MGM	portsmouth v norwich	connor ogilvie	atgs	o 0.5	-	-	1700	-	1000	-	1000	-
-45.8	-	900 MGM	luton v stoke	pelly ruddock mpanzu	atgs	o 0.5	-	-	900	-	800	-	-	-
-46.8	-	1100 MGM	luton v stoke	mark mcguinness	atgs	o 0.5	-	-	1100	-	1000	-	750	-
-47.8	-	1000 CZ	leipzig v aston villa	youri tielemans	team_fgs	o 0.5	-	-	-	-	1000	-	-	'+850
-47.9	-	1200 FD	salzburg v paris st germain	bobby clark	atgs	o 0.5	'+1200	'+1000	1100	-	900	-	850	'+700
-48.2	-	1250 MGM	leeds v middlesbrough	ethan ampadu	atgs	o 0.5	-	-	1250	-	1000	-	850	-
-48.5	-	1400 DK	salzburg v paris st germain	lucas hernandez	atgs	o 0.5	'+1300	'+1400	1350	-	700	-	-	'+500
-50.5	-	1100 FD	leverkusen v inter	denzel dumfries	atgs	o 0.5	'+1100	'+800	1000	-	-	-	900	-
-51.2	-	800 MGM	leverkusen v inter	arthur soares	atgs	o 0.5	-	'+800	800	-	-	-	-	-
-51.5	-	1500 BR	burnley v derby	kenzo goudmijn	atgs	o 0.5	-	-	-	-	1000	-	1500	-
-51.6	-	2000 MGM	portsmouth v norwich	zak swanson	atgs	o 0.5	-	-	2000	-	1400	-	750	-
-52.0	-	1150 MGM	leipzig v aston villa	matthew cash	atgs	o 0.5	-	'+1100	1150	-	-	-	-	'+750
-52.2	-	1700 FD	brest v psv	hugo magnetti	atgs	o 0.5	'+1700	'+1200	-	-	1000	-	1200	'+750
-52.6	-	2000 BR	leipzig v aston villa	benjamin henrichs	atgs	o 0.5	'+1400	'+900	1050	-	1200	-	2000	'+850
-53.0	-	1450 MGM	burnley v derby	han noah massengo	atgs	o 0.5	-	-	1450	-	1000	-	-	-
-54.3	-	1700 MGM	plymouth v swansea	josh tymon	atgs	o 0.5	-	-	1700	-	1000	-	1100	-
-54.5	-	1400 CZ	shakhtar v bayern munich	yehor nazaryna	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	shakhtar v bayern munich	viktor tsukanov	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	shakhtar v bayern munich	sacha boey	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	shakhtar v bayern munich	dmytro kryskiv	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	shakhtar v bayern munich	anton glushchenko	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	shakhtar v bayern munich	adam aznou	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	salzburg v paris st germain	marquinhos	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	salzburg v paris st germain	amar dedic	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 MGM	plymouth v swansea	nelson abbey	atgs	o 0.5	-	-	1400	-	1000	-	-	-
-54.5	-	1400 CZ	leverkusen v inter	sadik fofana	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	leipzig v aston villa	willi orban	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	leipzig v aston villa	lutsharel geertruida	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	club brugge v sporting lisbon	ardon jashari	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	club brugge v sporting lisbon	quaresma	atgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-54.5	-	1400 CZ	brest v psv	ryan flamingo	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1000
-56.0	-	1700 BR	leipzig v aston villa	kevin kampl	atgs	o 0.5	'+1200	'+1100	1250	-	1000	-	1700	'+750
-56.6	-	950 MGM	plymouth v swansea	caleb roberts	atgs	o 0.5	-	-	950	-	900	-	-	-
-56.6	-	950 MGM	plymouth v swansea	bali mumba	atgs	o 0.5	-	-	950	-	900	-	900	-
-56.8	-	1600 CZ	sunderland v bristol city	trai hume	atgs	o 0.5	-	-	-	-	1600	-	1050	-
-57.2	-	1200 MGM	luton v stoke	jordan thompson	atgs	o 0.5	-	-	1200	-	800	-	1150	-
-57.3	-	1100 DK	shakhtar v bayern munich	kevin macedo	atgs	o 0.5	-	'+1100	950	-	-	-	-	-
-58.3	-	1400 FD	leverkusen v inter	ben hawighorst	atgs	o 0.5	'+1400	'+900	1150	-	-	-	-	-
-58.3	-	1400 DK	leipzig v aston villa	xaver schlager	atgs	o 0.5	-	'+1400	-	-	1200	-	-	'+850
-58.5	-	1600 FD	shakhtar v bayern munich	dmytro kryskiv	atgs	o 0.5	'+1600	'+1200	1200	-	1200	-	950	'+750
-60.6	-	1200 CZ	shakhtar v bayern munich	konrad laimer	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 BR	plymouth v swansea	josh key	atgs	o 0.5	-	-	-	-	1000	-	1200	-
-60.6	-	1200 CZ	leverkusen v inter	kristjan asllani	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	brest v psv	kenny lala	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	atalanta v real madrid	rafael toloi	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	atalanta v real madrid	marten de roon	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	atalanta v real madrid	luka modric	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	atalanta v real madrid	francisco garcia	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.6	-	1200 CZ	atalanta v real madrid	federico valverde	team_fgs	o 0.5	-	-	-	-	1200	-	-	'+1000
-60.7	-	1900 FD	club brugge v sporting lisbon	ivan fresneda	atgs	o 0.5	'+1900	'+800	1600	-	1200	-	-	'+850
-60.8	-	1000 CZ	plymouth v swansea	kristian pedersen	atgs	o 0.5	-	-	950	-	1000	-	-	-
-60.8	-	1150 MGM	leipzig v aston villa	ian maatsen	atgs	o 0.5	'+1100	'+1100	1150	-	1000	-	1000	'+750
-61.6	-	1600 FD	leipzig v aston villa	boubacar kamara	atgs	o 0.5	'+1600	'+1000	1100	-	1200	-	1100	'+1000
-62.6	-	2200 DK	salzburg v paris st germain	william pacho	atgs	o 0.5	-	'+2200	1900	-	900	-	-	'+650
-62.7	-	1700 FD	brest v psv	rick karsdorp	atgs	o 0.5	'+1700	'+1600	-	-	1100	-	950	'+750
-63.2	-	2600 FD	club brugge v sporting lisbon	jorne spileers	atgs	o 0.5	'+2600	'+1100	2000	-	1200	-	850	'+750
-63.6	-	1100 CZ	leverkusen v inter	robert andrich	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+1000
-63.6	-	1100 CZ	leverkusen v inter	granit xhaka	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+1000
-63.6	-	1100 CZ	leverkusen v inter	exequiel palacios	team_fgs	o 0.5	-	-	-	-	1100	-	-	'+1000
-63.6	-	1100 FD	leipzig v aston villa	matty cash	atgs	o 0.5	'+1100	-	-	-	1000	-	1000	-
-64.4	-	1300 MGM	sheffield wednesday v blackburn	yan valery	atgs	o 0.5	-	-	1300	-	-	-	1050	-
-64.4	-	1300 MGM	portsmouth v norwich	shane duffy	atgs	o 0.5	-	-	1300	-	900	-	1200	-
-64.8	-	1600 CZ	brest v psv	luck zogbe	atgs	o 0.5	-	-	-	-	1600	-	1200	'+1000
-65.1	-	1050 MGM	plymouth v swansea	ben cabango	atgs	o 0.5	-	-	1050	-	1000	-	-	-
-65.1	-	1500 BR	brest v psv	olivier boscagli	atgs	o 0.5	'+1000	'+1100	-	-	1400	-	1500	'+850
-66.2	-	1400 CZ	salzburg v paris st germain	mads bidstrup	atgs	o 0.5	'+1200	'+1000	1100	-	1400	-	1100	'+1000
-67.0	-	1200 CZ	sunderland v bristol city	luke onien	atgs	o 0.5	-	-	-	-	1200	-	1050	-
-67.0	-	1200 MGM	sheffield wednesday v blackburn	sondre tronstad	atgs	o 0.5	-	-	1200	-	-	-	1050	-
-67.0	-	1200 DK	leipzig v aston villa	no goalscorer	atgs	o 0.5	-	'+1200	1050	-	-	-	-	-
-67.3	-	1400 CZ	leverkusen v inter	jeanuel belocian	atgs	o 0.5	'+1200	'+1100	1050	-	1400	-	-	'+1000
-67.5	-	1400 FD	leipzig v aston villa	arthur vermeeren	atgs	o 0.5	'+1400	'+1100	1250	-	1200	-	1050	'+850
-67.8	-	1300 FD	salzburg v paris st germain	oliver lukic	atgs	o 0.5	'+1300	'+1000	1150	-	-	-	-	-
-68.9	-	1400 CZ	plymouth v swansea	matthew sorinola	atgs	o 0.5	-	-	1150	-	1400	-	1050	-
-69.2	-	1700 FD	salzburg v paris st germain	amar dedic	atgs	o 0.5	'+1700	'+1000	1150	-	1200	-	1500	'+850
-69.3	-	1500 BR	leverkusen v inter	yann bisseck	atgs	o 0.5	'+1300	-	-	-	1200	-	1500	'+850
-69.5	-	1100 DK	leverkusen v inter	no goalscorer	atgs	o 0.5	-	'+1100	1050	-	-	-	-	-
-69.7	-	1500 BR	atalanta v real madrid	lucas vazquez	atgs	o 0.5	'+1200	'+1200	1250	-	1100	-	1500	'+850
-70.1	-	1200 BR	sheffield wednesday v blackburn	callum brittain	atgs	o 0.5	-	-	1050	-	1100	-	1200	-
-70.1	-	1200 MGM	luton v stoke	wouter burger	atgs	o 0.5	-	-	1200	-	1100	-	1050	-
-70.7	-	1700 FD	club brugge v sporting lisbon	kyriani sabbe	atgs	o 0.5	'+1700	'+800	1500	-	-	-	-	-
-71.3	-	2000 MGM	atalanta v real madrid	matteo ruggeri	atgs	o 0.5	'+1500	'+2000	2000	-	800	-	900	'+700
-72.4	-	1600 CZ	burnley v derby	hjalmar ekdal	atgs	o 0.5	-	-	1150	-	1600	-	-	-
-73.2	-	1550 MGM	plymouth v swansea	kyle naughton	atgs	o 0.5	-	-	1550	-	1000	-	1300	-
-73.2	-	1800 MGM	luton v stoke	junior tchamadeu	atgs	o 0.5	-	-	1800	-	1200	-	1150	-
-74.1	-	1150 MGM	sheffield wednesday v blackburn	liam palmer	atgs	o 0.5	-	-	1150	-	1100	-	-	-
-74.1	-	1300 BR	burnley v derby	ebou adams	atgs	o 0.5	-	-	1150	-	1100	-	1300	-
-75.0	-	2000 MGM	portsmouth v norwich	grant hanley	atgs	o 0.5	-	-	2000	-	1200	-	-	-
-75.0	-	2000 MGM	burnley v derby	joe ward	atgs	o 0.5	-	-	2000	-	1200	-	-	-
-75.0	-	2000 MGM	burnley v derby	ben osborn	atgs	o 0.5	-	-	2000	-	1100	-	1300	-
-75.4	-	1500 FD	leipzig v aston villa	amadou haidara	atgs	o 0.5	'+1500	'+1100	1250	-	1200	-	1400	'+850
-75.6	-	1400 CZ	burnley v derby	shurandy sambo	atgs	o 0.5	-	-	1150	-	1400	-	-	-
-76.2	-	1450 MGM	atalanta v real madrid	sead kolasinac	atgs	o 0.5	'+1400	'+1400	1450	-	1200	-	950	'+850
-76.8	-	2000 MGM	leipzig v aston villa	lamare bogarde	atgs	o 0.5	'+1100	'+2000	2000	-	1000	-	1200	'+750
-77.2	-	1400 MGM	leipzig v aston villa	nicolas seiwald	atgs	o 0.5	'+1400	'+1200	1400	-	1200	-	-	'+850
-77.3	-	1800 CZ	shakhtar v bayern munich	yukhym konoplya	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	shakhtar v bayern munich	taras stepanenko	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	salzburg v paris st germain	milan skriniar	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	salzburg v paris st germain	mamady diambou	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	salzburg v paris st germain	mads bidstrup	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	salzburg v paris st germain	lucas beraldo	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	leipzig v aston villa	arthur vermeeren	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	leipzig v aston villa	amadou haidara	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	club brugge v sporting lisbon	morten hjulmand	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	club brugge v sporting lisbon	jorne spileers	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	club brugge v sporting lisbon	jeremiah st juste	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	club brugge v sporting lisbon	ivan fresneda	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	brest v psv	jordan amavi	team_fgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.3	-	1800 CZ	brest v psv	niakhate ndiaye	atgs	o 0.5	-	-	-	-	1800	-	-	'+1200
-77.9	-	2800 BR	sheffield wednesday v blackburn	dominic iorfa	atgs	o 0.5	-	-	1300	-	1200	-	2800	-
-78.5	-	1700 FD	shakhtar v bayern munich	marlon gomes	atgs	o 0.5	'+1700	'+1400	1350	-	-	-	850	-
-79.0	-	1800 CZ	club brugge v sporting lisbon	ousmane diomande	atgs	o 0.5	'+1100	'+1100	1150	-	1800	-	1500	'+1200
-79.7	-	1600 BR	sunderland v bristol city	luke mcnally	atgs	o 0.5	-	-	-	-	1200	-	1600	-
-79.7	-	1600 CZ	salzburg v paris st germain	yoram zague	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	salzburg v paris st germain	nuno mendes	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	salzburg v paris st germain	lucas hernandez	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leverkusen v inter	yann bisseck	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leverkusen v inter	jonathan tah	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leverkusen v inter	edmond tapsoba	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leverkusen v inter	carlos augusto	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leverkusen v inter	aleix garcia	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leipzig v aston villa	lamare bogarde	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	leipzig v aston villa	benjamin henrichs	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	club brugge v sporting lisbon	ricardo esgaio	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	club brugge v sporting lisbon	matheus reis	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	brest v psv	julien le cardinal	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	brest v psv	jerdy schouten	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	brest v psv	armando obispo	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-79.7	-	1600 CZ	atalanta v real madrid	ben godfrey	team_fgs	o 0.5	-	-	-	-	1600	-	-	'+1200
-80.2	-	2500 MGM	portsmouth v norwich	tom mcintyre	atgs	o 0.5	-	-	2500	-	1400	-	1100	-
-80.6	-	1650 MGM	atalanta v real madrid	raoul bellanova	atgs	o 0.5	'+1100	'+1600	1650	-	1200	-	1300	'+850
-81.2	-	1600 BR	club brugge v sporting lisbon	brandon mechele	atgs	o 0.5	'+1400	'+1100	950	-	1600	-	1600	'+1000
-81.5	-	1450 MGM	leeds v middlesbrough	dan barlaser	atgs	o 0.5	-	-	1450	-	-	-	1200	-
-81.5	-	1450 MGM	burnley v derby	cj egan riley	atgs	o 0.5	-	-	1450	-	-	-	1200	-
-81.6	-	1700 MGM	leverkusen v inter	piero hincapie	atgs	o 0.5	'+1300	'+1100	1700	-	1400	-	1300	'+1000
-82.1	-	1400 CZ	shakhtar v bayern munich	joshua kimmich	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 CZ	shakhtar v bayern munich	aleksandar pavlovic	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 CZ	leipzig v aston villa	kevin kampl	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 CZ	leipzig v aston villa	ian maatsen	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 DK	leipzig v aston villa	ezri konsa ngoyo	atgs	o 0.5	-	'+1400	-	-	-	-	-	'+1200
-82.1	-	1400 BR	leeds v middlesbrough	matt clarke	atgs	o 0.5	-	-	-	-	1200	-	1400	-
-82.1	-	1400 CZ	brest v psv	hugo magnetti	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 CZ	atalanta v real madrid	matteo ruggeri	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 CZ	atalanta v real madrid	dani ceballos	team_fgs	o 0.5	-	-	-	-	1400	-	-	'+1200
-82.1	-	1400 MGM	atalanta v real madrid	no goalscorer	atgs	o 0.5	-	'+1200	1400	-	-	-	-	-
-83.3	-	1300 MGM	sheffield wednesday v blackburn	nathaniel chalobah	atgs	o 0.5	-	-	1300	-	1200	-	-	-
-83.3	-	1300 MGM	sheffield wednesday v blackburn	dishon bernard	atgs	o 0.5	-	-	1300	-	1200	-	1200	-
-83.3	-	1300 BR	luton v stoke	eric junior bocat	atgs	o 0.5	-	-	1200	-	1200	-	1300	-
-83.3	-	1300 DK	club brugge v sporting lisbon	no goalscorer	atgs	o 0.5	-	'+1300	1200	-	-	-	-	-
-83.3	-	1300 BR	burnley v derby	josh cullen	atgs	o 0.5	-	-	1200	-	-	-	1300	-
-83.4	-	1600 BR	leeds v middlesbrough	jonny howson	atgs	o 0.5	-	-	1550	-	900	-	1600	-
-84.8	-	1900 MGM	burnley v derby	craig forsyth	atgs	o 0.5	-	-	1900	-	1200	-	1300	-
-85.3	-	1600 FD	shakhtar v bayern munich	yehor nazaryna	atgs	o 0.5	'+1600	'+1400	1300	-	1400	-	-	'+850
-85.5	-	2100 FD	brest v psv	julien le cardinal	atgs	o 0.5	'+2100	'+1600	-	-	1100	-	1500	'+850
-85.5	-	2100 FD	brest v psv	jordan amavi	atgs	o 0.5	'+2100	'+1600	-	-	1200	-	1400	'+850
-85.6	-	1600 FD	leipzig v aston villa	tyrone mings	atgs	o 0.5	'+1600	'+1200	1300	-	1400	-	1300	'+1000
-86.7	-	1650 MGM	atalanta v real madrid	aurelien tchouameni	atgs	o 0.5	'+1200	-	1650	-	1400	-	1400	'+1000
-88.1	-	2100 FD	club brugge v sporting lisbon	zaid romero	atgs	o 0.5	'+2100	'+1100	1750	-	1400	-	-	'+850
-88.6	-	2000 BR	portsmouth v norwich	jack stacey	atgs	o 0.5	-	-	1150	-	1400	-	2000	-
-91.9	-	2500 MGM	burnley v derby	maxime esteve	atgs	o 0.5	-	-	2500	-	1400	-	1200	-
-94.1	-	1800 CZ	sunderland v bristol city	robert atkinson	atgs	o 0.5	-	-	-	-	1800	-	1300	-
-94.1	-	1800 BR	plymouth v swansea	jordan houghton	atgs	o 0.5	-	-	1300	-	-	-	1800	-
-94.4	-	1700 MGM	leipzig v aston villa	pau torres	atgs	o 0.5	'+1300	'+1600	1700	-	1200	-	1400	'+1000
-95.3	-	1400 CZ	luton v stoke	ben gibson	atgs	o 0.5	-	-	1300	-	1400	-	-	-
-96.1	-	1700 FD	leipzig v aston villa	diego carlos	atgs	o 0.5	'+1700	'+1400	1600	-	1400	-	1150	'+1000
-98.7	-	2500 FD	shakhtar v bayern munich	taras stepanenko	atgs	o 0.5	'+2500	'+1400	1300	-	1600	-	-	'+1000
-99.0	-	1800 CZ	leverkusen v inter	nordi mukiele	atgs	o 0.5	'+1500	'+1300	1300	-	1800	-	-	'+1200
